TicketID,EmployeeID,AdmissionsDate
113043,100011,2019-01-02
113044,100013,2019-01-02
113045,100015,2019-01-02
113046,100015,2019-01-02
113047,100015,2019-01-02
113048,100011,2019-01-02
113049,100011,2019-01-02
113050,100014,2019-01-02
113051,100015,2019-01-02
113052,100015,2019-01-02
113053,100011,2019-01-02
113054,100014,2019-01-02
113055,100014,2019-01-03
113056,100015,2019-01-03
113057,100015,2019-01-03
113058,100013,2019-01-03
113059,100014,2019-01-03
113060,100014,2019-01-03
113061,100014,2019-01-03
113062,100015,2019-01-03
113063,100015,2019-01-03
113064,100013,2019-01-03
113065,100014,2019-01-03
113066,100012,2019-01-03
113067,100013,2019-01-03
113068,100013,2019-01-03
113069,100014,2019-01-03
113070,100012,2019-01-03
113071,100012,2019-01-03
113072,100011,2019-01-03
113073,100012,2019-01-03
113074,100012,2019-01-03
113075,100015,2019-01-03
113076,100013,2019-01-03
113077,100013,2019-01-03
113078,100012,2019-01-03
113079,100015,2019-01-03
113080,100015,2019-01-03
113081,100011,2019-01-03
113082,100011,2019-01-03
113083,100014,2019-01-03
113084,100015,2019-01-03
113085,100014,2019-01-03
113086,100014,2019-01-03
113087,100015,2019-01-03
113088,100013,2019-01-03
113089,100014,2019-01-03
113090,100012,2019-01-03
113091,100012,2019-01-03
113092,100013,2019-01-03
113093,100013,2019-01-03
113094,100011,2019-01-03
113095,100012,2019-01-03
113096,100012,2019-01-03
113097,100013,2019-01-03
113098,100012,2019-01-03
113099,100012,2019-01-03
113100,100015,2019-01-03
113101,100011,2019-01-03
113102,100011,2019-01-03
113103,100012,2019-01-03
113104,100015,2019-01-03
113105,100014,2019-01-03
113106,100014,2019-01-03
113107,100015,2019-01-03
113108,100015,2019-01-03
113109,100013,2019-01-03
113110,100015,2019-01-04
113111,100011,2019-01-04
113112,100014,2019-01-04
113113,100014,2019-01-04
113114,100015,2019-01-04
113115,100015,2019-01-04
113116,100013,2019-01-04
113117,100014,2019-01-04
113118,100013,2019-01-04
113119,100014,2019-01-04
113120,100012,2019-01-04
113121,100012,2019-01-04
113122,100013,2019-01-04
113123,100012,2019-01-04
113124,100012,2019-01-04
113125,100013,2019-01-04
113126,100011,2019-01-04
113127,100011,2019-01-04
113128,100012,2019-01-04
113129,100012,2019-01-04
113130,100015,2019-01-04
113131,100014,2019-01-04
113132,100014,2019-01-04
113133,100015,2019-01-04
113134,100014,2019-01-04
113135,100014,2019-01-04
113136,100015,2019-01-04
113137,100014,2019-01-04
113138,100015,2019-01-04
113139,100013,2019-01-04
113140,100013,2019-01-04
113141,100014,2019-01-04
113142,100015,2019-01-04
113143,100012,2019-01-04
113144,100014,2019-01-04
113145,100012,2019-01-04
113146,100012,2019-01-04
113147,100011,2019-01-04
113148,100012,2019-01-04
113149,100012,2019-01-04
113150,100015,2019-01-04
113151,100011,2019-01-04
113152,100014,2019-01-04
113153,100015,2019-01-04
113154,100015,2019-01-04
113155,100011,2019-01-04
113156,100014,2019-01-04
113157,100014,2019-01-04
113158,100015,2019-01-04
113159,100011,2019-01-04
113160,100013,2019-01-04
113161,100014,2019-01-04
113162,100015,2019-01-04
113163,100015,2019-01-04
113164,100013,2019-01-04
113165,100014,2019-01-04
113166,100014,2019-01-04
113167,100015,2019-01-04
113168,100013,2019-01-04
113169,100013,2019-01-04
113170,100013,2019-01-04
113171,100014,2019-01-04
113172,100014,2019-01-04
113173,100014,2019-01-04
113174,100013,2019-01-04
113175,100014,2019-01-04
113176,100012,2019-01-04
113177,100012,2019-01-04
113178,100013,2019-01-04
113179,100013,2019-01-04
113180,100011,2019-01-04
113181,100012,2019-01-04
113182,100012,2019-01-04
113183,100011,2019-01-05
113184,100012,2019-01-05
113185,100014,2019-01-05
113186,100015,2019-01-05
113187,100011,2019-01-05
113188,100011,2019-01-05
113189,100014,2019-01-05
113190,100015,2019-01-06
113191,100015,2019-01-06
113192,100011,2019-01-06
113193,100014,2019-01-06
113194,100014,2019-01-06
113195,100015,2019-01-06
113196,100015,2019-01-06
113197,100013,2019-01-06
113198,100014,2019-01-06
113199,100014,2019-01-06
113200,100015,2019-01-06
113201,100013,2019-01-06
113202,100013,2019-01-06
113203,100014,2019-01-06
113204,100014,2019-01-06
113205,100013,2019-01-06
113206,100014,2019-01-06
113207,100011,2019-01-06
113208,100012,2019-01-06
113209,100013,2019-01-06
113210,100013,2019-01-06
113211,100011,2019-01-06
113212,100012,2019-01-06
113213,100012,2019-01-06
113214,100011,2019-01-06
113215,100011,2019-01-06
113216,100014,2019-01-06
113217,100015,2019-01-06
113218,100015,2019-01-06
113219,100011,2019-01-06
113220,100012,2019-01-06
113221,100011,2019-01-06
113222,100012,2019-01-06
113223,100015,2019-01-06
113224,100011,2019-01-06
113225,100012,2019-01-06
113226,100013,2019-01-06
113227,100011,2019-01-06
113228,100011,2019-01-06
113229,100011,2019-01-06
113230,100012,2019-01-06
113231,100012,2019-01-06
113232,100013,2019-01-06
113233,100011,2019-01-06
113234,100011,2019-01-06
113235,100012,2019-01-06
113236,100015,2019-01-06
113237,100011,2019-01-06
113238,100011,2019-01-06
113239,100014,2019-01-06
113240,100013,2019-01-06
113241,100014,2019-01-06
113242,100014,2019-01-06
113243,100014,2019-01-06
113244,100013,2019-01-06
113245,100013,2019-01-06
113246,100014,2019-01-06
113247,100014,2019-01-06
113248,100013,2019-01-06
113249,100014,2019-01-06
113250,100012,2019-01-07
113251,100012,2019-01-07
113252,100013,2019-01-07
113253,100013,2019-01-07
113254,100011,2019-01-07
113255,100012,2019-01-07
113256,100012,2019-01-07
113257,100011,2019-01-07
113258,100011,2019-01-07
113259,100011,2019-01-07
113260,100012,2019-01-07
113261,100012,2019-01-07
113262,100015,2019-01-07
113263,100011,2019-01-07
113264,100011,2019-01-07
113265,100015,2019-01-08
