TicketNumber,Price,DateOfPurchase,TicketCode
113043,12.0000000000,2019-01-02,1
113044,8.0000000000,2019-01-02,2
113045,10.0000000000,2019-01-02,3
113046,12.0000000000,2019-01-02,1
113047,10.0000000000,2019-01-02,4
113048,12.0000000000,2019-01-02,1
113049,10.0000000000,2019-01-02,3
113050,10.0000000000,2019-01-02,4
113051,8.0000000000,2019-01-02,2
113052,10.0000000000,2019-01-02,3
113053,10.0000000000,2019-01-02,3
113054,8.0000000000,2019-01-02,2
113055,8.0000000000,2019-01-02,2
113056,12.0000000000,2019-01-03,1
113057,8.0000000000,2019-01-03,2
113058,10.0000000000,2019-01-03,3
113059,12.0000000000,2019-01-03,1
113060,8.0000000000,2019-01-03,2
113061,12.0000000000,2019-01-03,1
113062,12.0000000000,2019-01-03,1
113063,10.0000000000,2019-01-03,4
113064,8.0000000000,2019-01-03,2
113065,10.0000000000,2019-01-03,3
113066,10.0000000000,2019-01-03,3
113067,8.0000000000,2019-01-03,2
113068,8.0000000000,2019-01-03,2
113069,10.0000000000,2019-01-03,3
113070,12.0000000000,2019-01-03,1
113071,10.0000000000,2019-01-03,4
113072,12.0000000000,2019-01-03,1
113073,10.0000000000,2019-01-03,3
113074,10.0000000000,2019-01-03,4
113075,12.0000000000,2019-01-03,1
113076,8.0000000000,2019-01-03,2
113077,10.0000000000,2019-01-03,4
113078,10.0000000000,2019-01-04,3
113079,10.0000000000,2019-01-04,3
113080,10.0000000000,2019-01-04,4
113081,8.0000000000,2019-01-04,2
113082,10.0000000000,2019-01-04,3
113083,10.0000000000,2019-01-04,4
113084,8.0000000000,2019-01-04,2
113085,12.0000000000,2019-01-04,1
113086,8.0000000000,2019-01-04,2
113087,10.0000000000,2019-01-04,4
113088,12.0000000000,2019-01-04,1
113089,8.0000000000,2019-01-04,2
113090,10.0000000000,2019-01-04,4
113091,12.0000000000,2019-01-04,1
113092,10.0000000000,2019-01-04,4
113093,10.0000000000,2019-01-04,4
113094,10.0000000000,2019-01-04,3
113095,12.0000000000,2019-01-04,1
113096,8.0000000000,2019-01-04,2
113097,8.0000000000,2019-01-04,2
113098,10.0000000000,2019-01-04,3
113099,12.0000000000,2019-01-04,1
113100,8.0000000000,2019-01-04,2
113101,12.0000000000,2019-01-04,1
113102,10.0000000000,2019-01-04,3
113103,10.0000000000,2019-01-04,3
113104,8.0000000000,2019-01-04,2
113105,10.0000000000,2019-01-04,3
113106,12.0000000000,2019-01-04,1
113107,8.0000000000,2019-01-04,2
113108,10.0000000000,2019-01-04,3
113109,12.0000000000,2019-01-04,1
113110,8.0000000000,2019-01-04,2
113111,12.0000000000,2019-01-04,1
113112,10.0000000000,2019-01-04,3
113113,10.0000000000,2019-01-04,3
113114,8.0000000000,2019-01-04,2
113115,10.0000000000,2019-01-04,3
113116,12.0000000000,2019-01-04,1
113117,8.0000000000,2019-01-04,2
113118,8.0000000000,2019-01-04,2
113119,12.0000000000,2019-01-04,1
113120,12.0000000000,2019-01-04,1
113121,10.0000000000,2019-01-04,4
113122,8.0000000000,2019-01-04,2
113123,10.0000000000,2019-01-04,3
113124,12.0000000000,2019-01-04,1
113125,10.0000000000,2019-01-04,4
113126,10.0000000000,2019-01-04,4
113127,12.0000000000,2019-01-04,1
113128,10.0000000000,2019-01-04,3
113129,10.0000000000,2019-01-04,4
113130,12.0000000000,2019-01-04,1
113131,10.0000000000,2019-01-04,4
113132,8.0000000000,2019-01-04,2
113133,10.0000000000,2019-01-04,3
113134,12.0000000000,2019-01-04,1
113135,8.0000000000,2019-01-04,2
113136,10.0000000000,2019-01-04,3
113137,12.0000000000,2019-01-04,1
113138,8.0000000000,2019-01-04,2
113139,12.0000000000,2019-01-04,1
113140,12.0000000000,2019-01-04,1
113141,10.0000000000,2019-01-04,4
113142,10.0000000000,2019-01-04,4
113143,10.0000000000,2019-01-04,3
113144,10.0000000000,2019-01-04,3
113145,8.0000000000,2019-01-04,2
113146,8.0000000000,2019-01-04,2
113147,12.0000000000,2019-01-05,1
113148,12.0000000000,2019-01-06,1
113149,10.0000000000,2019-01-06,4
113150,10.0000000000,2019-01-06,4
113151,10.0000000000,2019-01-06,3
113152,10.0000000000,2019-01-06,4
113153,8.0000000000,2019-01-06,2
113154,10.0000000000,2019-01-06,3
113155,10.0000000000,2019-01-06,4
113156,8.0000000000,2019-01-06,2
113157,10.0000000000,2019-01-06,3
113158,8.0000000000,2019-01-06,2
113159,8.0000000000,2019-01-06,2
113160,12.0000000000,2019-01-06,1
113161,12.0000000000,2019-01-06,1
113162,8.0000000000,2019-01-06,2
113163,10.0000000000,2019-01-06,4
113164,12.0000000000,2019-01-06,1
113165,10.0000000000,2019-01-06,3
113166,8.0000000000,2019-01-06,2
113167,10.0000000000,2019-01-06,3
113168,10.0000000000,2019-01-06,4
113169,8.0000000000,2019-01-06,2
113170,10.0000000000,2019-01-06,3
113171,10.0000000000,2019-01-06,4
113172,8.0000000000,2019-01-06,2
113173,12.0000000000,2019-01-07,1
113174,12.0000000000,2019-01-07,1
113175,8.0000000000,2019-01-07,2
113176,10.0000000000,2019-01-07,4
113177,12.0000000000,2019-01-07,1
113178,10.0000000000,2019-01-08,3
113179,10.0000000000,2019-01-08,4
113180,10.0000000000,2019-01-08,3
113181,10.0000000000,2019-01-08,4
113182,8.0000000000,2019-01-08,2
113183,10.0000000000,2019-01-08,3
113184,12.0000000000,2019-01-08,1
113185,8.0000000000,2019-01-08,2
113186,10.0000000000,2019-01-08,3
113187,12.0000000000,2019-01-08,1
113188,8.0000000000,2019-01-08,2
113189,12.0000000000,2019-01-08,1
113190,12.0000000000,2019-01-08,1
113191,10.0000000000,2019-01-08,4
113192,10.0000000000,2019-01-08,4
113193,12.0000000000,2019-01-08,1
113194,10.0000000000,2019-01-08,3
113195,10.0000000000,2019-01-08,4
113196,10.0000000000,2019-01-08,3
113197,12.0000000000,2019-01-08,1
113198,8.0000000000,2019-01-08,2
113199,10.0000000000,2019-01-08,4
113200,12.0000000000,2019-01-08,1
113201,8.0000000000,2019-01-08,2
113202,10.0000000000,2019-01-08,4
113203,12.0000000000,2019-01-08,1
113204,10.0000000000,2019-01-08,4
113205,10.0000000000,2019-01-08,4
113206,10.0000000000,2019-01-08,3
113207,10.0000000000,2019-01-08,3
113208,8.0000000000,2019-01-08,2
113209,8.0000000000,2019-01-08,2
113210,10.0000000000,2019-01-08,3
113211,12.0000000000,2019-01-08,1
113212,10.0000000000,2019-01-08,4
113213,10.0000000000,2019-01-08,4
113214,10.0000000000,2019-01-08,3
113215,10.0000000000,2019-01-08,3
113216,8.0000000000,2019-01-08,2
113217,10.0000000000,2019-01-08,3
113218,12.0000000000,2019-01-08,1
113219,8.0000000000,2019-01-08,2
113220,10.0000000000,2019-01-08,4
113221,8.0000000000,2019-01-08,2
113222,12.0000000000,2019-01-08,1
113223,12.0000000000,2019-01-08,1
113224,10.0000000000,2019-01-08,4
113225,10.0000000000,2019-01-08,4
113226,10.0000000000,2019-01-08,3
113227,10.0000000000,2019-01-08,3
113228,10.0000000000,2019-01-08,4
113229,10.0000000000,2019-01-08,3
113230,12.0000000000,2019-01-08,1
113231,12.0000000000,2019-01-08,1
113232,10.0000000000,2019-01-08,4
113233,8.0000000000,2019-01-08,2
113234,10.0000000000,2019-01-08,3
113235,10.0000000000,2019-01-08,4
113236,8.0000000000,2019-01-08,2
113237,10.0000000000,2019-01-08,3
113238,12.0000000000,2019-01-08,1
113239,8.0000000000,2019-01-08,2
